Title,Word count,#REF!,Type,S.E. omnibus name,In omnibus?,Date published,#REF!,First published in,Also published in,Alternate title(s),Transcription,Page scans,Notes,Custom columns...,by Cowper,Book Number,Hymn Number,Reference or Section,First Line,Meter,Sub-section,Notes
David's Fall,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iiSA.h1_29.html,https://archive.org/details/worksofrevjohnne03newt/page/339/mode/1up,,,No,I,XXVIII,2SA 11:27,"How David, when by sin deceiv'd","8,6,8,6",,
Is This Thy Kindness To Thy Friend?,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iiSA.h1_30.html,https://archive.org/details/worksofrevjohnne03newt/page/340/mode/1up,,,No,I,XXX,2SA 16:17,"Poor, weak, and worthless though I am","8,8,8,8",,
Ask what I shall give thee,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iKI.h1_31.html,https://archive.org/details/worksofrevjohnne03newt/page/341/mode/1up,,,No,I,XXXI,1KI 3:5,"Come, my soul, thy suit prepare","7,7,7,7",,
Another,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iKI.h1_32.html,https://archive.org/details/worksofrevjohnne03newt/page/342/mode/1up,,,No,I,XXXII,1KI 3:5,If Solomon for wisdom pray'd,"8,8,8,8",,
Another,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iKI.h1_33.html,https://archive.org/details/worksofrevjohnne03newt/page/343/mode/1up,,,No,I,XXXIII,1KI 3:5,Behold the throne of grace!,"6,6,8,6",,
Queen of Sheba,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iKI.h1_34.html,https://archive.org/details/worksofrevjohnne03newt/page/344/mode/1up,,,No,I,XXXIV,1KI 10:1-9,From Sheba a distant report,"8,8,8,8a",,
Elijah fed by Ravens,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iKI.h1_35.html,https://archive.org/details/worksofrevjohnne03newt/page/346/mode/1up,,,No,I,XXXV,1KI 17:6,Elijah’s example declares,"8,8,8,8a",,
The Meal and Cruse of Oil,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iKI.h1_36.html,https://archive.org/details/worksofrevjohnne03newt/page/347/mode/1up,,,No,I,XXXVI,1KI 17:16,By the poor widow’s oil and meal,"8,6,8,6",,
"Jericho; or, the Waters healed",,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iiKI.h1_37.html,https://archive.org/details/worksofrevjohnne03newt/page/348/mode/1up,,,No,I,XXXVII,2KI 2:19-22,Though Jericho pleasantly stood,"8,8,8,8a",,
Naaman,,,Poetry,,FALSE,1810-01,,THE WORKS THE REV. JOHN NEWTON,,,https://ccel.org/ccel/newton/olneyhymns/olneyhymns.Book1.iiKI.h1_38.html,https://archive.org/details/worksofrevjohnne03newt/page/350/mode/1up,,,No,I,XXXVIII,2KI 5:14,Before Elisha’s gate,"6,6,6,6,8,8",,
